GO biological process complete	Homo sapiens - REFLIST (20595)	intersect.genes_uniq.txt (8324)	intersect.genes_uniq.txt (expected)	intersect.genes_uniq.txt (over/under)	intersect.genes_uniq.txt (fold Enrichment)	intersect.genes_uniq.txt (raw P-value)	intersect.genes_uniq.txt (FDR)
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	316	203.30	+	1.55	1.11E-09	1.07E-07
morphogenesis of embryonic epithelium (GO:0016331)	145	91	58.61	+	1.55	1.14E-03	3.31E-02
positive regulation of developmental growth (GO:0048639)	169	106	68.31	+	1.55	4.81E-04	1.59E-02
positive regulation of cell development (GO:0010720)	300	188	121.25	+	1.55	3.22E-06	1.76E-04
axonogenesis (GO:0007409)	385	241	155.61	+	1.55	1.26E-07	8.86E-06
tube formation (GO:0035148)	147	92	59.41	+	1.55	1.20E-03	3.49E-02
neuron projection morphogenesis (GO:0048812)	499	312	201.68	+	1.55	1.94E-09	1.81E-07
respiratory system development (GO:0060541)	200	125	80.84	+	1.55	1.63E-04	6.16E-03
cell part morphogenesis (GO:0032990)	526	328	212.60	+	1.54	9.13E-10	9.20E-08
regulation of Wnt signaling pathway (GO:0030111)	377	235	152.37	+	1.54	2.43E-07	1.65E-05
axon development (GO:0061564)	421	262	170.16	+	1.54	5.04E-08	3.74E-06
telencephalon development (GO:0021537)	254	158	102.66	+	1.54	2.90E-05	1.27E-03
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	97	63.05	+	1.54	1.01E-03	3.03E-02
respiratory tube development (GO:0030323)	177	110	71.54	+	1.54	4.94E-04	1.62E-02
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	392	255.03	+	1.54	2.55E-11	3.18E-09
kidney development (GO:0001822)	282	175	113.98	+	1.54	1.13E-05	5.43E-04
positive regulation of cell growth (GO:0030307)	166	103	67.09	+	1.54	8.76E-04	2.68E-02
positive regulation of cell projection organization (GO:0031346)	353	219	142.67	+	1.53	8.82E-07	5.32E-05
regulation of cell projection organization (GO:0031344)	648	402	261.91	+	1.53	1.73E-11	2.25E-09
negative regulation of canonical Wnt signaling pathway (GO:0090090)	187	116	75.58	+	1.53	3.42E-04	1.18E-02
synapse organization (GO:0050808)	289	179	116.81	+	1.53	8.97E-06	4.42E-04
lung development (GO:0030324)	173	107	69.92	+	1.53	6.88E-04	2.18E-02
regulation of trans-synaptic signaling (GO:0099177)	432	267	174.60	+	1.53	5.67E-08	4.11E-06
regulation of canonical Wnt signaling pathway (GO:0060828)	298	184	120.44	+	1.53	7.56E-06	3.83E-04
modulation of chemical synaptic transmission (GO:0050804)	431	266	174.20	+	1.53	6.83E-08	4.89E-06
negative regulation of cell development (GO:0010721)	180	111	72.75	+	1.53	5.45E-04	1.78E-02
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	279	183.09	+	1.52	4.29E-08	3.28E-06
covalent chromatin modification (GO:0016569)	367	226	148.33	+	1.52	8.60E-07	5.21E-05
morphogenesis of a branching structure (GO:0001763)	169	104	68.31	+	1.52	9.58E-04	2.89E-02
neuron projection guidance (GO:0097485)	278	171	112.36	+	1.52	1.96E-05	8.85E-04
histone modification (GO:0016570)	363	223	146.72	+	1.52	1.19E-06	7.01E-05
axon guidance (GO:0007411)	277	170	111.96	+	1.52	2.37E-05	1.05E-03
rhythmic process (GO:0048511)	269	165	108.72	+	1.52	2.94E-05	1.28E-03
forebrain development (GO:0030900)	387	237	156.42	+	1.52	6.38E-07	4.04E-05
neural tube development (GO:0021915)	157	96	63.46	+	1.51	1.65E-03	4.56E-02
regulation of neurotransmitter levels (GO:0001505)	218	133	88.11	+	1.51	2.26E-04	8.18E-03
regulation of cell morphogenesis (GO:0022604)	310	189	125.29	+	1.51	1.07E-05	5.16E-04
regionalization (GO:0003002)	317	193	128.12	+	1.51	8.50E-06	4.21E-04
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	255	169.75	+	1.50	3.56E-07	2.38E-05
regulation of synaptic plasticity (GO:0048167)	188	114	75.99	+	1.50	8.58E-04	2.65E-02
positive regulation of intracellular protein transport (GO:0090316)	185	112	74.77	+	1.50	9.80E-04	2.94E-02
regulation of cell size (GO:0008361)	185	112	74.77	+	1.50	9.80E-04	2.94E-02
regulation of cellular response to growth factor stimulus (GO:0090287)	299	181	120.85	+	1.50	2.31E-05	1.02E-03
epithelial tube morphogenesis (GO:0060562)	309	187	124.89	+	1.50	1.60E-05	7.41E-04
regulation of cell development (GO:0060284)	500	302	202.09	+	1.49	4.35E-08	3.30E-06
peptidyl-lysine modification (GO:0018205)	305	184	123.27	+	1.49	2.20E-05	9.81E-04
neuron projection development (GO:0031175)	691	416	279.29	+	1.49	1.38E-10	1.53E-08
cell junction organization (GO:0034330)	502	302	202.90	+	1.49	5.66E-08	4.12E-06
protein autophosphorylation (GO:0046777)	188	113	75.99	+	1.49	1.06E-03	3.14E-02
cell fate commitment (GO:0045165)	238	143	96.19	+	1.49	2.07E-04	7.61E-03
positive regulation of protein catabolic process (GO:0045732)	237	142	95.79	+	1.48	2.48E-04	8.89E-03
regulation of protein binding (GO:0043393)	196	117	79.22	+	1.48	1.06E-03	3.14E-02
positive regulation of Wnt signaling pathway (GO:0030177)	186	111	75.18	+	1.48	1.54E-03	4.34E-02
locomotory behavior (GO:0007626)	181	108	73.16	+	1.48	1.67E-03	4.61E-02
positive regulation of intracellular transport (GO:0032388)	228	136	92.15	+	1.48	3.71E-04	1.27E-02
cell morphogenesis involved in differentiation (GO:0000904)	559	333	225.93	+	1.47	2.45E-08	1.93E-06
regulation of developmental growth (GO:0048638)	320	190	129.34	+	1.47	3.24E-05	1.40E-03
cellular component morphogenesis (GO:0032989)	611	362	246.95	+	1.47	9.24E-09	7.89E-07
generation of neurons (GO:0048699)	1271	753	513.71	+	1.47	2.33E-17	5.50E-15
regulation of cell growth (GO:0001558)	422	250	170.56	+	1.47	1.98E-06	1.12E-04
protein localization to cell periphery (GO:1990778)	233	138	94.17	+	1.47	4.21E-04	1.42E-02
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	145	99.02	+	1.46	3.06E-04	1.07E-02
regulation of protein ubiquitination (GO:0031396)	213	126	86.09	+	1.46	8.74E-04	2.68E-02
neuron differentiation (GO:0030182)	1043	616	421.56	+	1.46	4.00E-14	6.66E-12
brain development (GO:0007420)	759	447	306.77	+	1.46	2.60E-10	2.81E-08
response to endoplasmic reticulum stress (GO:0034976)	260	153	105.09	+	1.46	2.91E-04	1.02E-02
neurogenesis (GO:0022008)	1391	818	562.21	+	1.45	3.18E-18	8.11E-16
head development (GO:0060322)	803	472	324.55	+	1.45	9.65E-11	1.09E-08
regulation of response to DNA damage stimulus (GO:2001020)	223	131	90.13	+	1.45	7.49E-04	2.34E-02
neuron development (GO:0048666)	846	495	341.93	+	1.45	5.17E-11	6.15E-09
central nervous system development (GO:0007417)	1000	585	404.18	+	1.45	6.91E-13	1.03E-10
cell morphogenesis (GO:0000902)	715	418	288.99	+	1.45	1.88E-09	1.77E-07
gland development (GO:0048732)	414	242	167.33	+	1.45	6.63E-06	3.41E-04
positive regulation of growth (GO:0045927)	257	150	103.87	+	1.44	4.06E-04	1.37E-02
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	140	97.00	+	1.44	6.12E-04	1.97E-02
negative regulation of mitotic cell cycle (GO:0045930)	294	171	118.83	+	1.44	1.93E-04	7.16E-03
tube morphogenesis (GO:0035239)	654	380	264.33	+	1.44	2.01E-08	1.59E-06
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	253	147	102.26	+	1.44	5.49E-04	1.78E-02
morphogenesis of an epithelium (GO:0002009)	441	256	178.24	+	1.44	4.56E-06	2.42E-04
pattern specification process (GO:0007389)	426	247	172.18	+	1.43	7.13E-06	3.65E-04
tube development (GO:0035295)	856	496	345.97	+	1.43	1.40E-10	1.55E-08
regulation of growth (GO:0040008)	661	383	267.16	+	1.43	1.93E-08	1.56E-06
negative regulation of neuron death (GO:1901215)	209	121	84.47	+	1.43	1.80E-03	4.90E-02
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	524	366.18	+	1.43	4.79E-11	5.74E-09
response to growth factor (GO:0070848)	526	304	212.60	+	1.43	7.37E-07	4.57E-05
cellular response to growth factor stimulus (GO:0071363)	497	286	200.88	+	1.42	2.21E-06	1.24E-04
nervous system development (GO:0007399)	2218	1274	896.46	+	1.42	7.86E-26	5.65E-23
negative regulation of growth (GO:0045926)	249	143	100.64	+	1.42	9.03E-04	2.76E-02
regulation of cellular protein catabolic process (GO:1903362)	256	147	103.47	+	1.42	8.61E-04	2.65E-02
regulation of protein catabolic process (GO:0042176)	398	228	160.86	+	1.42	3.18E-05	1.38E-03
regulation of neuron death (GO:1901214)	316	181	127.72	+	1.42	2.11E-04	7.74E-03
cell junction assembly (GO:0034329)	276	158	111.55	+	1.42	6.10E-04	1.96E-02
embryonic morphogenesis (GO:0048598)	570	326	230.38	+	1.42	5.87E-07	3.77E-05
regulation of mitotic cell cycle phase transition (GO:1901990)	434	248	175.41	+	1.41	1.48E-05	6.98E-04
embryonic organ development (GO:0048568)	435	248	175.82	+	1.41	1.81E-05	8.23E-04
negative regulation of protein phosphorylation (GO:0001933)	353	201	142.67	+	1.41	1.20E-04	4.73E-03
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	690	489.86	+	1.41	2.86E-13	4.43E-11
chromatin organization (GO:0006325)	703	400	284.14	+	1.41	4.47E-08	3.38E-06
positive regulation of cellular protein localization (GO:1903829)	306	174	123.68	+	1.41	3.64E-04	1.25E-02
response to insulin (GO:0032868)	241	137	97.41	+	1.41	1.63E-03	4.52E-02
negative regulation of protein kinase activity (GO:0006469)	241	137	97.41	+	1.41	1.63E-03	4.52E-02
blood vessel morphogenesis (GO:0048514)	410	233	165.71	+	1.41	4.03E-05	1.70E-03
negative regulation of kinase activity (GO:0033673)	264	150	106.70	+	1.41	1.01E-03	3.02E-02
embryo development (GO:0009790)	991	563	400.54	+	1.41	6.87E-11	8.05E-09
behavior (GO:0007610)	557	316	225.13	+	1.40	1.64E-06	9.42E-05
vasculature development (GO:0001944)	514	291	207.75	+	1.40	4.48E-06	2.38E-04
negative regulation of transcription, DNA-templated (GO:0045892)	1297	734	524.22	+	1.40	1.03E-13	1.65E-11
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	735	525.02	+	1.40	1.06E-13	1.69E-11
skeletal system development (GO:0001501)	479	271	193.60	+	1.40	9.88E-06	4.82E-04
negative regulation of RNA biosynthetic process (GO:1902679)	1301	736	525.83	+	1.40	1.10E-13	1.72E-11
enzyme linked receptor protein signaling pathway (GO:0007167)	723	409	292.22	+	1.40	5.41E-08	3.97E-06
response to decreased oxygen levels (GO:0036293)	361	204	145.91	+	1.40	1.41E-04	5.40E-03
proteasomal protein catabolic process (GO:0010498)	361	204	145.91	+	1.40	1.41E-04	5.39E-03
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	191	136.61	+	1.40	2.26E-04	8.19E-03
blood vessel development (GO:0001568)	492	278	198.85	+	1.40	8.72E-06	4.31E-04
regulation of autophagy (GO:0010506)	331	187	133.78	+	1.40	2.83E-04	9.99E-03
chordate embryonic development (GO:0043009)	613	346	247.76	+	1.40	6.45E-07	4.06E-05
activation of protein kinase activity (GO:0032147)	328	185	132.57	+	1.40	3.21E-04	1.12E-02
negative regulation of RNA metabolic process (GO:0051253)	1408	794	569.08	+	1.40	1.58E-14	2.68E-12
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	867	622.43	+	1.39	9.50E-16	1.93E-13
negative regulation of phosphorylation (GO:0042326)	395	222	159.65	+	1.39	9.01E-05	3.63E-03
response to hypoxia (GO:0001666)	347	195	140.25	+	1.39	2.65E-04	9.38E-03
response to oxygen levels (GO:0070482)	388	218	156.82	+	1.39	1.13E-04	4.47E-03
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	293	210.98	+	1.39	7.37E-06	3.76E-04
small GTPase mediated signal transduction (GO:0007264)	262	147	105.89	+	1.39	1.68E-03	4.63E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	870	626.88	+	1.39	1.65E-15	3.11E-13
regulation of cytoskeleton organization (GO:0051493)	526	295	212.60	+	1.39	6.68E-06	3.43E-04
positive regulation of catabolic process (GO:0009896)	519	291	209.77	+	1.39	8.33E-06	4.14E-04
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	856	617.58	+	1.39	3.96E-15	7.19E-13
in utero embryonic development (GO:0001701)	366	205	147.93	+	1.39	2.19E-04	7.97E-03
angiogenesis (GO:0001525)	318	178	128.53	+	1.38	5.47E-04	1.78E-02
tissue morphogenesis (GO:0048729)	545	305	220.28	+	1.38	5.48E-06	2.88E-04
regulation of mitotic cell cycle (GO:0007346)	588	329	237.66	+	1.38	2.40E-06	1.34E-04
embryo development ending in birth or egg hatching (GO:0009792)	633	354	255.84	+	1.38	9.20E-07	5.51E-05
regulation of actin filament-based process (GO:0032970)	397	222	160.46	+	1.38	1.12E-04	4.44E-03
regulation of DNA metabolic process (GO:0051052)	372	208	150.35	+	1.38	2.04E-04	7.53E-03
negative regulation of cell differentiation (GO:0045596)	644	360	260.29	+	1.38	7.82E-07	4.83E-05
negative regulation of cellular biosynthetic process (GO:0031327)	1610	900	650.72	+	1.38	1.04E-15	2.06E-13
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	910	658.00	+	1.38	6.84E-16	1.46E-13
positive regulation of transcription, DNA-templated (GO:0045893)	1628	910	658.00	+	1.38	6.84E-16	1.44E-13
regulation of binding (GO:0051098)	365	204	147.52	+	1.38	2.57E-04	9.11E-03
negative regulation of cell communication (GO:0010648)	1401	783	566.25	+	1.38	1.02E-13	1.67E-11
negative regulation of signaling (GO:0023057)	1405	785	567.87	+	1.38	1.09E-13	1.73E-11
positive regulation of RNA biosynthetic process (GO:1902680)	1629	910	658.40	+	1.38	7.01E-16	1.46E-13
negative regulation of signal transduction (GO:0009968)	1305	729	527.45	+	1.38	8.65E-13	1.27E-10
regulation of anatomical structure morphogenesis (GO:0022603)	967	540	390.84	+	1.38	1.14E-09	1.10E-07
cell projection organization (GO:0030030)	1221	681	493.50	+	1.38	7.27E-12	9.91E-10
regulation of supramolecular fiber organization (GO:1902903)	382	213	154.40	+	1.38	2.04E-04	7.55E-03
regulation of cellular component biogenesis (GO:0044087)	974	543	393.67	+	1.38	1.27E-09	1.22E-07
negative regulation of biosynthetic process (GO:0009890)	1643	915	664.06	+	1.38	1.05E-15	2.06E-13
positive regulation of RNA metabolic process (GO:0051254)	1773	987	716.60	+	1.38	6.85E-17	1.59E-14
peptidyl-amino acid modification (GO:0018193)	886	493	358.10	+	1.38	9.46E-09	8.04E-07
regulation of cellular protein localization (GO:1903827)	561	312	226.74	+	1.38	6.08E-06	3.15E-04
regulation of cellular component organization (GO:0051128)	2390	1329	965.98	+	1.38	6.54E-23	2.58E-20
regulation of actin cytoskeleton organization (GO:0032956)	358	199	144.69	+	1.38	3.83E-04	1.30E-02
plasma membrane bounded cell projection organization (GO:0120036)	1175	653	474.91	+	1.38	3.31E-11	4.03E-09
negative regulation of transferase activity (GO:0051348)	306	170	123.68	+	1.37	1.06E-03	3.13E-02
negative regulation of intracellular signal transduction (GO:1902532)	507	281	204.92	+	1.37	2.28E-05	1.01E-03
circulatory system development (GO:0072359)	877	486	354.46	+	1.37	1.92E-08	1.56E-06
regulation of cellular catabolic process (GO:0031329)	899	498	363.35	+	1.37	1.38E-08	1.16E-06
autophagy (GO:0006914)	309	171	124.89	+	1.37	1.12E-03	3.28E-02
process utilizing autophagic mechanism (GO:0061919)	309	171	124.89	+	1.37	1.12E-03	3.28E-02
embryonic organ morphogenesis (GO:0048562)	295	163	119.23	+	1.37	1.48E-03	4.19E-02
regulation of catabolic process (GO:0009894)	1066	589	430.85	+	1.37	7.13E-10	7.27E-08
transcription by RNA polymerase II (GO:0006366)	382	211	154.40	+	1.37	2.89E-04	1.02E-02
regulation of protein localization (GO:0032880)	894	493	361.33	+	1.36	2.51E-08	1.96E-06
heart development (GO:0007507)	535	295	216.23	+	1.36	1.83E-05	8.29E-04
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	1070	784.51	+	1.36	2.26E-17	5.42E-15
positive regulation of transferase activity (GO:0051347)	693	382	280.09	+	1.36	1.04E-06	6.20E-05
positive regulation of cell differentiation (GO:0045597)	840	463	339.51	+	1.36	6.85E-08	4.88E-06
ubiquitin-dependent protein catabolic process (GO:0006511)	545	300	220.28	+	1.36	1.81E-05	8.22E-04
cognition (GO:0050890)	298	164	120.44	+	1.36	1.57E-03	4.37E-02
negative regulation of protein modification process (GO:0031400)	558	307	225.53	+	1.36	1.59E-05	7.35E-04
regulation of cellular component size (GO:0032535)	389	214	157.22	+	1.36	3.22E-04	1.12E-02
anatomical structure formation involved in morphogenesis (GO:0048646)	883	485	356.89	+	1.36	4.88E-08	3.65E-06
positive regulation of protein kinase activity (GO:0045860)	539	296	217.85	+	1.36	2.30E-05	1.02E-03
modification-dependent protein catabolic process (GO:0019941)	552	303	223.11	+	1.36	2.01E-05	9.00E-04
modification-dependent macromolecule catabolic process (GO:0043632)	563	309	227.55	+	1.36	1.71E-05	7.84E-04
negative regulation of cell cycle (GO:0045786)	454	249	183.50	+	1.36	1.21E-04	4.74E-03
negative regulation of developmental process (GO:0051093)	879	482	355.27	+	1.36	5.44E-08	3.98E-06
nucleic acid-templated transcription (GO:0097659)	531	291	214.62	+	1.36	3.32E-05	1.43E-03
anatomical structure morphogenesis (GO:0009653)	2158	1181	872.21	+	1.35	1.71E-18	4.44E-16
transcription, DNA-templated (GO:0006351)	530	290	214.21	+	1.35	3.29E-05	1.42E-03
animal organ morphogenesis (GO:0009887)	956	523	386.39	+	1.35	2.00E-08	1.60E-06
regulation of transferase activity (GO:0051338)	1033	565	417.51	+	1.35	4.51E-09	4.03E-07
mitotic cell cycle process (GO:1903047)	675	369	272.82	+	1.35	2.97E-06	1.63E-04
positive regulation of cellular catabolic process (GO:0031331)	450	246	181.88	+	1.35	1.58E-04	6.00E-03
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	1018	752.98	+	1.35	9.18E-16	1.89E-13
camera-type eye development (GO:0043010)	317	173	128.12	+	1.35	1.78E-03	4.86E-02
positive regulation of kinase activity (GO:0033674)	614	335	248.16	+	1.35	9.95E-06	4.84E-04
positive regulation of developmental process (GO:0051094)	1271	693	513.71	+	1.35	1.02E-10	1.14E-08
regulation of kinase activity (GO:0043549)	914	498	369.42	+	1.35	6.52E-08	4.69E-06
protein phosphorylation (GO:0006468)	685	373	276.86	+	1.35	3.43E-06	1.86E-04
sensory organ development (GO:0007423)	555	302	224.32	+	1.35	3.42E-05	1.46E-03
regulation of cell cycle phase transition (GO:1901987)	522	284	210.98	+	1.35	5.58E-05	2.30E-03
regulation of protein kinase activity (GO:0045859)	802	436	324.15	+	1.35	5.36E-07	3.47E-05
positive regulation of cellular component organization (GO:0051130)	1161	631	469.25	+	1.34	1.08E-09	1.06E-07
regulation of small GTPase mediated signal transduction (GO:0051056)	348	189	140.65	+	1.34	1.24E-03	3.58E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1696	1262.24	+	1.34	3.09E-26	2.33E-23
regulation of cell differentiation (GO:0045595)	1586	861	641.02	+	1.34	7.17E-13	1.06E-10
regulation of membrane potential (GO:0042391)	437	237	176.62	+	1.34	2.93E-04	1.03E-02
cell division (GO:0051301)	498	270	201.28	+	1.34	1.03E-04	4.13E-03
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	330	246.14	+	1.34	1.76E-05	8.04E-04
RNA biosynthetic process (GO:0032774)	543	294	219.47	+	1.34	5.47E-05	2.26E-03
regulation of organelle organization (GO:0033043)	1208	654	488.24	+	1.34	9.20E-10	9.21E-08
negative regulation of cell cycle process (GO:0010948)	368	199	148.74	+	1.34	1.02E-03	3.05E-02
cellular macromolecule localization (GO:0070727)	1480	800	598.18	+	1.34	1.00E-11	1.33E-09
phosphorylation (GO:0016310)	877	474	354.46	+	1.34	2.65E-07	1.80E-05
regulation of cellular response to stress (GO:0080135)	692	374	279.69	+	1.34	6.10E-06	3.15E-04
cellular protein catabolic process (GO:0044257)	644	348	260.29	+	1.34	1.30E-05	6.14E-04
positive regulation of cellular biosynthetic process (GO:0031328)	1969	1063	795.82	+	1.34	2.37E-15	4.40E-13
cellular response to peptide (GO:1901653)	339	183	137.02	+	1.34	1.77E-03	4.85E-02
cellular response to DNA damage stimulus (GO:0006974)	793	428	320.51	+	1.34	1.22E-06	7.20E-05
reproductive system development (GO:0061458)	419	226	169.35	+	1.33	5.03E-04	1.65E-02
positive regulation of cellular metabolic process (GO:0031325)	3314	1787	1339.44	+	1.33	1.02E-26	8.45E-24
regulation of developmental process (GO:0050793)	2461	1326	994.68	+	1.33	4.34E-19	1.18E-16
cellular protein localization (GO:0034613)	1470	792	594.14	+	1.33	2.29E-11	2.87E-09
DNA repair (GO:0006281)	531	286	214.62	+	1.33	8.74E-05	3.53E-03
chromosome organization (GO:0051276)	1064	573	430.04	+	1.33	1.83E-08	1.49E-06
negative regulation of cellular component organization (GO:0051129)	724	389	292.62	+	1.33	5.87E-06	3.06E-04
negative regulation of phosphorus metabolic process (GO:0010563)	484	260	195.62	+	1.33	2.19E-04	7.97E-03
positive regulation of biosynthetic process (GO:0009891)	2004	1075	809.97	+	1.33	6.05E-15	1.07E-12
negative regulation of phosphate metabolic process (GO:0045936)	483	259	195.22	+	1.33	2.52E-04	8.94E-03
