




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (6957)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (FDR)
peptidyl-lysine modification (GO:0018205)	305	178	103.03	+	1.73	1.28E-08	1.11E-06
regulation of protein ubiquitination (GO:0031396)	213	124	71.95	+	1.72	2.62E-06	1.60E-04
histone modification (GO:0016570)	363	211	122.62	+	1.72	7.44E-10	6.96E-08
signal transduction in response to DNA damage (GO:0042770)	167	97	56.41	+	1.72	3.30E-05	1.59E-03
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	142	82.76	+	1.72	6.30E-07	4.26E-05
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	78	45.60	+	1.71	2.48E-04	9.21E-03
positive regulation of protein ubiquitination (GO:0031398)	123	71	41.55	+	1.71	4.60E-04	1.59E-02
regulation of dendrite development (GO:0050773)	104	60	35.13	+	1.71	1.50E-03	4.33E-02
negative regulation of mitotic cell cycle (GO:0045930)	294	169	99.31	+	1.70	7.69E-08	5.93E-06
cell cycle checkpoint signaling (GO:0000075)	188	108	63.51	+	1.70	2.01E-05	1.02E-03
DNA integrity checkpoint signaling (GO:0031570)	150	86	50.67	+	1.70	1.53E-04	6.01E-03
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	95	56.07	+	1.69	5.71E-05	2.54E-03
positive regulation of mitotic cell cycle (GO:0045931)	112	64	37.83	+	1.69	1.19E-03	3.57E-02
response to UV (GO:0009411)	151	86	51.01	+	1.69	1.60E-04	6.24E-03
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	143	81	48.31	+	1.68	2.68E-04	9.84E-03
regulation of protein binding (GO:0043393)	196	111	66.21	+	1.68	2.13E-05	1.08E-03
positive regulation of mRNA metabolic process (GO:1903313)	136	77	45.94	+	1.68	4.58E-04	1.58E-02
mitotic spindle organization (GO:0007052)	163	92	55.06	+	1.67	1.15E-04	4.67E-03
regulation of mitochondrion organization (GO:0010821)	160	90	54.05	+	1.67	1.76E-04	6.79E-03
positive regulation of intracellular protein transport (GO:0090316)	185	104	62.49	+	1.66	5.37E-05	2.43E-03
mitotic sister chromatid segregation (GO:0000070)	121	68	40.87	+	1.66	1.00E-03	3.09E-02
vesicle-mediated transport to the plasma membrane (GO:0098876)	118	66	39.86	+	1.66	1.54E-03	4.42E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	189	114.18	+	1.66	5.15E-08	4.03E-06
negative regulation of cell cycle phase transition (GO:1901988)	294	164	99.31	+	1.65	4.07E-07	2.85E-05
mitotic nuclear division (GO:0140014)	201	112	67.90	+	1.65	3.41E-05	1.64E-03
negative regulation of cell cycle process (GO:0010948)	368	205	124.31	+	1.65	1.92E-08	1.64E-06
proteasomal protein catabolic process (GO:0010498)	361	201	121.95	+	1.65	2.50E-08	2.08E-06
phosphatidylinositol biosynthetic process (GO:0006661)	144	80	48.64	+	1.64	4.83E-04	1.66E-02
response to endoplasmic reticulum stress (GO:0034976)	260	144	87.83	+	1.64	3.49E-06	2.10E-04
positive regulation of intracellular transport (GO:0032388)	228	126	77.02	+	1.64	1.48E-05	7.73E-04
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	117	71.61	+	1.63	3.05E-05	1.48E-03
mitotic cell cycle process (GO:1903047)	675	372	228.02	+	1.63	5.90E-14	9.06E-12
regulation of mitotic cell cycle (GO:0007346)	588	324	198.63	+	1.63	2.37E-12	2.95E-10
regulation of cell cycle phase transition (GO:1901987)	522	287	176.33	+	1.63	5.34E-11	5.86E-09
regulation of cell cycle G2/M phase transition (GO:1902749)	222	122	74.99	+	1.63	2.60E-05	1.29E-03
chromatin organization (GO:0006325)	703	386	237.47	+	1.63	2.56E-14	4.12E-12
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	101	62.16	+	1.62	1.17E-04	4.72E-03
regulation of response to DNA damage stimulus (GO:2001020)	223	122	75.33	+	1.62	2.71E-05	1.34E-03
intrinsic apoptotic signaling pathway (GO:0097193)	150	82	50.67	+	1.62	6.06E-04	2.00E-02
cell cycle G2/M phase transition (GO:0044839)	143	78	48.31	+	1.61	8.06E-04	2.58E-02
regulation of mRNA catabolic process (GO:0061013)	252	137	85.13	+	1.61	1.24E-05	6.66E-04
circadian rhythm (GO:0007623)	138	75	46.62	+	1.61	1.13E-03	3.40E-02
cell division (GO:0051301)	498	270	168.22	+	1.60	6.43E-10	6.09E-08
negative regulation of cell cycle (GO:0045786)	454	246	153.36	+	1.60	3.91E-09	3.53E-07
endosomal transport (GO:0016197)	235	127	79.38	+	1.60	3.17E-05	1.53E-03
regulation of proteasomal protein catabolic process (GO:0061136)	187	101	63.17	+	1.60	2.16E-04	8.10E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	545	294	184.10	+	1.60	1.51E-10	1.56E-08
regulation of mRNA stability (GO:0043488)	241	130	81.41	+	1.60	2.36E-05	1.19E-03
regulation of cellular protein catabolic process (GO:1903362)	256	138	86.48	+	1.60	1.42E-05	7.46E-04
G2/M transition of mitotic cell cycle (GO:0000086)	141	76	47.63	+	1.60	1.26E-03	3.74E-02
negative regulation of cellular amide metabolic process (GO:0034249)	206	111	69.59	+	1.60	1.16E-04	4.68E-03
mitotic cell cycle (GO:0000278)	750	404	253.35	+	1.59	4.60E-14	7.13E-12
DNA repair (GO:0006281)	531	286	179.37	+	1.59	3.31E-10	3.19E-08
modification-dependent macromolecule catabolic process (GO:0043632)	563	303	190.18	+	1.59	9.94E-11	1.07E-08
negative regulation of translation (GO:0017148)	184	99	62.16	+	1.59	2.53E-04	9.39E-03
modification-dependent protein catabolic process (GO:0019941)	552	297	186.47	+	1.59	1.48E-10	1.54E-08
regulation of RNA stability (GO:0043487)	253	136	85.46	+	1.59	1.68E-05	8.66E-04
sister chromatid segregation (GO:0000819)	149	80	50.33	+	1.59	9.96E-04	3.08E-02
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	119	74.99	+	1.59	7.21E-05	3.08E-03
positive regulation of protein catabolic process (GO:0045732)	237	127	80.06	+	1.59	4.36E-05	2.04E-03
DNA replication (GO:0006260)	273	146	92.22	+	1.58	1.17E-05	6.41E-04
cellular response to DNA damage stimulus (GO:0006974)	793	423	267.88	+	1.58	3.96E-14	6.26E-12
positive regulation of cellular protein catabolic process (GO:1903364)	156	83	52.70	+	1.58	9.79E-04	3.05E-02
positive regulation of canonical Wnt signaling pathway (GO:0090263)	151	80	51.01	+	1.57	1.37E-03	4.00E-02
cellular protein catabolic process (GO:0044257)	644	341	217.54	+	1.57	2.49E-11	2.86E-09
organelle localization by membrane tethering (GO:0140056)	170	90	57.43	+	1.57	7.20E-04	2.33E-02
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	322	205.72	+	1.57	1.22E-10	1.29E-08
regulation of macroautophagy (GO:0016241)	161	85	54.39	+	1.56	1.13E-03	3.40E-02
spindle organization (GO:0007051)	224	118	75.67	+	1.56	1.26E-04	5.02E-03
mitotic cell cycle phase transition (GO:0044772)	262	138	88.50	+	1.56	3.58E-05	1.71E-03
protein polyubiquitination (GO:0000209)	325	171	109.79	+	1.56	4.07E-06	2.41E-04
regulation of gene expression, epigenetic (GO:0040029)	173	91	58.44	+	1.56	7.90E-04	2.54E-02
positive regulation of catabolic process (GO:0009896)	519	273	175.32	+	1.56	4.30E-09	3.84E-07
membrane docking (GO:0022406)	179	94	60.47	+	1.55	7.40E-04	2.38E-02
double-strand break repair (GO:0006302)	204	107	68.91	+	1.55	2.93E-04	1.06E-02
peptidyl-serine phosphorylation (GO:0018105)	185	97	62.49	+	1.55	5.54E-04	1.86E-02
autophagy (GO:0006914)	309	162	104.38	+	1.55	8.33E-06	4.75E-04
process utilizing autophagic mechanism (GO:0061919)	309	162	104.38	+	1.55	8.33E-06	4.73E-04
chromosome organization (GO:0051276)	1064	557	359.42	+	1.55	3.40E-17	7.37E-15
phospholipid biosynthetic process (GO:0008654)	289	151	97.62	+	1.55	1.92E-05	9.82E-04
cell cycle phase transition (GO:0044770)	270	141	91.21	+	1.55	3.61E-05	1.72E-03
protein-containing complex disassembly (GO:0032984)	228	119	77.02	+	1.55	1.80E-04	6.89E-03
rhythmic process (GO:0048511)	269	140	90.87	+	1.54	4.43E-05	2.06E-03
regulation of protein catabolic process (GO:0042176)	398	207	134.44	+	1.54	6.27E-07	4.25E-05
protein catabolic process (GO:0030163)	697	362	235.45	+	1.54	4.38E-11	4.88E-09
response to topologically incorrect protein (GO:0035966)	191	99	64.52	+	1.53	6.61E-04	2.16E-02
nuclear export (GO:0051168)	166	86	56.07	+	1.53	1.67E-03	4.75E-02
regulation of cell cycle process (GO:0010564)	792	410	267.54	+	1.53	2.82E-12	3.48E-10
macroautophagy (GO:0016236)	199	103	67.22	+	1.53	5.21E-04	1.78E-02
macromolecule methylation (GO:0043414)	257	133	86.81	+	1.53	8.08E-05	3.41E-03
Ras protein signal transduction (GO:0007265)	176	91	59.45	+	1.53	1.39E-03	4.05E-02
regulation of intracellular protein transport (GO:0033157)	256	132	86.48	+	1.53	9.88E-05	4.09E-03
positive regulation of cellular catabolic process (GO:0031331)	450	232	152.01	+	1.53	2.58E-07	1.87E-05
cellular response to decreased oxygen levels (GO:0036294)	202	104	68.24	+	1.52	5.67E-04	1.90E-02
cellular response to oxygen levels (GO:0071453)	220	113	74.32	+	1.52	3.66E-04	1.30E-02
regulation of autophagy (GO:0010506)	331	170	111.81	+	1.52	1.22E-05	6.63E-04
cellular macromolecule catabolic process (GO:0044265)	925	475	312.47	+	1.52	9.68E-14	1.46E-11
regulation of canonical Wnt signaling pathway (GO:0060828)	298	153	100.66	+	1.52	3.89E-05	1.84E-03
regulation of cellular catabolic process (GO:0031329)	899	461	303.68	+	1.52	3.03E-13	4.28E-11
protein modification by small protein removal (GO:0070646)	295	151	99.65	+	1.52	4.50E-05	2.07E-03
cellular response to insulin stimulus (GO:0032869)	174	89	58.78	+	1.51	1.67E-03	4.75E-02
regulation of cell cycle (GO:0051726)	1164	594	393.20	+	1.51	1.49E-16	3.10E-14
phosphatidylinositol metabolic process (GO:0046488)	181	92	61.14	+	1.50	1.61E-03	4.61E-02
mRNA splicing, via spliceosome (GO:0000398)	303	154	102.35	+	1.50	4.49E-05	2.08E-03
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	154	102.35	+	1.50	4.49E-05	2.07E-03
negative regulation of canonical Wnt signaling pathway (GO:0090090)	187	95	63.17	+	1.50	1.48E-03	4.29E-02
glycerophospholipid biosynthetic process (GO:0046474)	252	128	85.13	+	1.50	2.18E-04	8.15E-03
regulation of catabolic process (GO:0009894)	1066	541	360.10	+	1.50	7.48E-15	1.27E-12
protein deubiquitination (GO:0016579)	278	141	93.91	+	1.50	1.11E-04	4.54E-03
regulation of binding (GO:0051098)	365	185	123.30	+	1.50	9.56E-06	5.32E-04
RNA splicing, via transesterification reactions (GO:0000375)	306	155	103.37	+	1.50	4.84E-05	2.22E-03
response to insulin (GO:0032868)	241	122	81.41	+	1.50	3.24E-04	1.17E-02
regulation of DNA metabolic process (GO:0051052)	372	188	125.66	+	1.50	9.13E-06	5.12E-04
regulation of mRNA metabolic process (GO:1903311)	376	190	127.01	+	1.50	8.10E-06	4.64E-04
cellular response to hypoxia (GO:0071456)	193	97	65.20	+	1.49	1.72E-03	4.88E-02
mRNA catabolic process (GO:0006402)	215	108	72.63	+	1.49	9.82E-04	3.06E-02
negative regulation of protein kinase activity (GO:0006469)	241	121	81.41	+	1.49	4.97E-04	1.70E-02
negative regulation of kinase activity (GO:0033673)	264	132	89.18	+	1.48	2.93E-04	1.06E-02
RNA catabolic process (GO:0006401)	248	124	83.77	+	1.48	4.73E-04	1.63E-02
cell-cell signaling by wnt (GO:0198738)	350	175	118.23	+	1.48	3.03E-05	1.48E-03
Wnt signaling pathway (GO:0016055)	350	175	118.23	+	1.48	3.03E-05	1.48E-03
cell cycle process (GO:0022402)	957	478	323.28	+	1.48	2.35E-12	2.95E-10
DNA metabolic process (GO:0006259)	777	388	262.47	+	1.48	3.20E-10	3.10E-08
peptidyl-amino acid modification (GO:0018193)	886	442	299.29	+	1.48	1.82E-11	2.13E-09
negative regulation of protein phosphorylation (GO:0001933)	353	176	119.24	+	1.48	3.24E-05	1.56E-03
cellular response to stress (GO:0033554)	1741	868	588.11	+	1.48	5.16E-22	1.57E-19
mitochondrial transport (GO:0006839)	235	117	79.38	+	1.47	8.24E-04	2.62E-02
negative regulation of Wnt signaling pathway (GO:0030178)	219	109	73.98	+	1.47	1.09E-03	3.32E-02
peptidyl-serine modification (GO:0018209)	209	104	70.60	+	1.47	1.63E-03	4.66E-02
macromolecule catabolic process (GO:0009057)	1058	525	357.39	+	1.47	3.82E-13	5.30E-11
negative regulation of phosphorylation (GO:0042326)	395	196	133.43	+	1.47	1.55E-05	8.11E-04
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	763	520.21	+	1.47	9.09E-19	2.14E-16
RNA localization (GO:0006403)	212	105	71.61	+	1.47	1.75E-03	4.92E-02
regulation of cellular amide metabolic process (GO:0034248)	479	237	161.81	+	1.46	1.90E-06	1.19E-04
apoptotic signaling pathway (GO:0097190)	281	139	94.92	+	1.46	2.83E-04	1.03E-02
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	448	306.05	+	1.46	3.46E-11	3.94E-09
transcription, DNA-templated (GO:0006351)	530	262	179.03	+	1.46	5.90E-07	4.04E-05
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	766	523.93	+	1.46	1.42E-18	3.29E-16
regulation of cellular protein localization (GO:1903827)	561	277	189.51	+	1.46	2.74E-07	1.97E-05
negative regulation of transferase activity (GO:0051348)	306	151	103.37	+	1.46	1.73E-04	6.68E-03
nucleic acid-templated transcription (GO:0097659)	531	262	179.37	+	1.46	6.08E-07	4.14E-05
regulation of chromosome organization (GO:0033044)	290	143	97.96	+	1.46	2.79E-04	1.02E-02
chromosome segregation (GO:0007059)	286	141	96.61	+	1.46	3.14E-04	1.13E-02
negative regulation of protein modification process (GO:0031400)	558	275	188.49	+	1.46	3.83E-07	2.69E-05
protein modification by small protein conjugation or removal (GO:0070647)	1035	510	349.62	+	1.46	2.33E-12	2.94E-10
glycerolipid biosynthetic process (GO:0045017)	272	134	91.88	+	1.46	4.33E-04	1.52E-02
nuclear transport (GO:0051169)	264	130	89.18	+	1.46	5.50E-04	1.85E-02
cell cycle (GO:0007049)	1316	648	444.55	+	1.46	1.54E-15	2.84E-13
small GTPase mediated signal transduction (GO:0007264)	262	129	88.50	+	1.46	5.31E-04	1.80E-02
methylation (GO:0032259)	313	154	105.73	+	1.46	1.64E-04	6.34E-03
negative regulation of cellular biosynthetic process (GO:0031327)	1610	792	543.86	+	1.46	7.00E-19	1.70E-16
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	639	438.80	+	1.46	3.10E-15	5.50E-13
negative regulation of transcription, DNA-templated (GO:0045892)	1297	638	438.13	+	1.46	2.99E-15	5.42E-13
regulation of intracellular transport (GO:0032386)	364	179	122.96	+	1.46	5.07E-05	2.32E-03
regulation of translation (GO:0006417)	415	204	140.19	+	1.46	1.58E-05	8.21E-04
protein modification by small protein conjugation (GO:0032446)	822	404	277.67	+	1.45	6.76E-10	6.36E-08
negative regulation of RNA metabolic process (GO:0051253)	1408	692	475.62	+	1.45	1.89E-16	3.84E-14
response to starvation (GO:0042594)	232	114	78.37	+	1.45	1.19E-03	3.55E-02
negative regulation of RNA biosynthetic process (GO:1902679)	1301	639	439.48	+	1.45	3.97E-15	6.97E-13
nucleocytoplasmic transport (GO:0006913)	261	128	88.17	+	1.45	6.38E-04	2.10E-02
DNA conformation change (GO:0071103)	312	153	105.39	+	1.45	1.96E-04	7.43E-03
response to decreased oxygen levels (GO:0036293)	361	177	121.95	+	1.45	5.87E-05	2.59E-03
positive regulation of cellular protein localization (GO:1903829)	306	150	103.37	+	1.45	2.60E-04	9.58E-03
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	749	516.16	+	1.45	1.39E-17	3.09E-15
negative regulation of biosynthetic process (GO:0009890)	1643	805	555.01	+	1.45	7.22E-19	1.73E-16
Golgi vesicle transport (GO:0048193)	398	195	134.44	+	1.45	2.51E-05	1.25E-03
posttranscriptional regulation of gene expression (GO:0010608)	581	284	196.26	+	1.45	4.11E-07	2.86E-05
regulation of Wnt signaling pathway (GO:0030111)	377	184	127.35	+	1.44	5.42E-05	2.44E-03
RNA biosynthetic process (GO:0032774)	543	265	183.43	+	1.44	1.16E-06	7.43E-05
intracellular protein transport (GO:0006886)	781	381	263.82	+	1.44	4.09E-09	3.68E-07
organophosphate biosynthetic process (GO:0090407)	552	269	186.47	+	1.44	9.37E-07	6.20E-05
nucleobase-containing compound biosynthetic process (GO:0034654)	975	475	329.36	+	1.44	5.01E-11	5.54E-09
response to oxygen levels (GO:0070482)	388	189	131.07	+	1.44	4.55E-05	2.09E-03
regulation of cellular response to stress (GO:0080135)	692	337	233.76	+	1.44	3.83E-08	3.03E-06
RNA splicing (GO:0008380)	409	199	138.16	+	1.44	3.11E-05	1.51E-03
protein-containing complex localization (GO:0031503)	259	126	87.49	+	1.44	9.18E-04	2.88E-02
negative regulation of organelle organization (GO:0010639)	334	162	112.83	+	1.44	2.05E-04	7.73E-03
establishment of protein localization to organelle (GO:0072594)	394	191	133.09	+	1.44	5.12E-05	2.33E-03
transcription by RNA polymerase II (GO:0006366)	382	185	129.04	+	1.43	7.30E-05	3.10E-03
response to hypoxia (GO:0001666)	347	168	117.22	+	1.43	1.48E-04	5.82E-03
protein ubiquitination (GO:0016567)	746	361	252.00	+	1.43	2.22E-08	1.88E-06
nuclear division (GO:0000280)	339	164	114.51	+	1.43	1.87E-04	7.11E-03
protein localization to organelle (GO:0033365)	742	358	250.65	+	1.43	3.06E-08	2.51E-06
mRNA metabolic process (GO:0016071)	697	336	235.45	+	1.43	9.19E-08	6.95E-06
nucleic acid metabolic process (GO:0090304)	2217	1068	748.90	+	1.43	2.40E-23	8.63E-21
cellular component disassembly (GO:0022411)	409	197	138.16	+	1.43	5.60E-05	2.51E-03
heterocycle biosynthetic process (GO:0018130)	1049	505	354.35	+	1.43	4.16E-11	4.67E-09
regulation of protein stability (GO:0031647)	306	147	103.37	+	1.42	5.73E-04	1.92E-02
regulation of organelle organization (GO:0033043)	1208	580	408.06	+	1.42	1.74E-12	2.24E-10
organelle localization (GO:0051640)	609	292	205.72	+	1.42	1.03E-06	6.71E-05
mRNA processing (GO:0006397)	486	233	164.17	+	1.42	1.31E-05	6.97E-04
negative regulation of intracellular signal transduction (GO:1902532)	507	243	171.26	+	1.42	8.90E-06	5.01E-04
vesicle organization (GO:0016050)	313	150	105.73	+	1.42	5.38E-04	1.82E-02
protein targeting (GO:0006605)	322	154	108.77	+	1.42	4.36E-04	1.52E-02
intracellular transport (GO:0046907)	1464	700	494.54	+	1.42	1.12E-14	1.83E-12
regulation of cell morphogenesis (GO:0022604)	310	148	104.72	+	1.41	6.19E-04	2.04E-02
glycerophospholipid metabolic process (GO:0006650)	331	158	111.81	+	1.41	4.21E-04	1.48E-02
negative regulation of phosphorus metabolic process (GO:0010563)	484	230	163.50	+	1.41	2.23E-05	1.12E-03
organelle fission (GO:0048285)	369	175	124.65	+	1.40	2.66E-04	9.77E-03
negative regulation of phosphate metabolic process (GO:0045936)	483	229	163.16	+	1.40	2.64E-05	1.31E-03
response to radiation (GO:0009314)	452	214	152.69	+	1.40	5.65E-05	2.52E-03
protein-DNA complex subunit organization (GO:0071824)	296	140	99.99	+	1.40	1.24E-03	3.69E-02
mitochondrion organization (GO:0007005)	468	221	158.09	+	1.40	5.11E-05	2.33E-03
aromatic compound biosynthetic process (GO:0019438)	1060	500	358.07	+	1.40	5.84E-10	5.59E-08
response to light stimulus (GO:0009416)	316	149	106.74	+	1.40	9.97E-04	3.08E-02
gland development (GO:0048732)	414	195	139.85	+	1.39	1.56E-04	6.10E-03
cellular macromolecule localization (GO:0070727)	1480	697	499.94	+	1.39	1.43E-13	2.08E-11
in utero embryonic development (GO:0001701)	366	172	123.63	+	1.39	4.39E-04	1.53E-02
establishment of protein localization (GO:0045184)	1397	656	471.91	+	1.39	1.32E-12	1.73E-10
cellular protein localization (GO:0034613)	1470	690	496.57	+	1.39	3.12E-13	4.36E-11
nucleobase-containing compound metabolic process (GO:0006139)	2705	1269	913.75	+	1.39	1.02E-24	4.47E-22
protein transport (GO:0015031)	1300	609	439.14	+	1.39	1.39E-11	1.64E-09
regulation of growth (GO:0040008)	661	309	223.29	+	1.38	2.46E-06	1.52E-04
microtubule cytoskeleton organization (GO:0000226)	567	265	191.53	+	1.38	1.40E-05	7.39E-04
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	1146	828.62	+	1.38	1.33E-21	3.82E-19
activation of protein kinase activity (GO:0032147)	328	153	110.80	+	1.38	1.21E-03	3.61E-02
establishment of protein localization to membrane (GO:0090150)	313	146	105.73	+	1.38	1.38E-03	4.04E-02
phosphorylation (GO:0016310)	877	409	296.25	+	1.38	6.59E-08	5.13E-06
RNA processing (GO:0006396)	930	433	314.15	+	1.38	2.97E-08	2.45E-06
positive regulation of RNA metabolic process (GO:0051254)	1773	825	598.92	+	1.38	4.33E-15	7.45E-13
RNA metabolic process (GO:0016070)	1582	736	534.40	+	1.38	1.86E-13	2.67E-11
regulation of neuron death (GO:1901214)	316	147	106.74	+	1.38	1.45E-03	4.19E-02
phospholipid metabolic process (GO:0006644)	398	185	134.44	+	1.38	3.58E-04	1.28E-02
establishment of organelle localization (GO:0051656)	398	185	134.44	+	1.38	3.58E-04	1.28E-02
positive regulation of organelle organization (GO:0010638)	605	281	204.37	+	1.37	1.04E-05	5.78E-04
regulation of protein localization (GO:0032880)	894	415	301.99	+	1.37	7.17E-08	5.55E-06
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	901	655.67	+	1.37	2.89E-16	5.72E-14
viral process (GO:0016032)	444	206	149.98	+	1.37	2.09E-04	7.84E-03
regulation of cytoskeleton organization (GO:0051493)	526	244	177.68	+	1.37	4.39E-05	2.05E-03
